"","Tick_2000-12-15_To_2018-02-09","Membership_2000-12-15_To_2018-02-09"
"1","BBVA",1
"2","SAN",1
"3","BCS",1
"4","DKT",1
"5","DB",1
"6","HSBC",1
"7","ING",1
"8","LYG",1
"9","RBS",1
"10","CS",1
"11","MCILX",1
"12","SCGLY",1
"13","BNP.PA",1
"14","AZSEY",1
"15","G.MI",1
"16","ZURVY",1
"17","GLE.PA",1
"18","LLOY.L",1
"19","BFR",2
"20","HDB",2
"21","IBN",2
"22","BMA",2
"23","BRK",2
"24","GWB",2
"25","DBK",2
"26","BAC",3
"27","BK",3
"28","BBT",3
"29","COF",3
"30","C",3
"31","CMA",3
"32","CPF",3
"33","CFR",3
"34","FBC",3
"35","BSMX",3
"36","HTH",3
"37","JPM",3
"38","KB",3
"39","KEY",3
"40","MTB",3
"41","MSL",3
"42","PNC",3
"43","PB",3
"44","RF",3
"45","SHG",3
"46","STT",3
"47","STI",3
"48","SNV",3
"49","USB",3
"50","UBS",3
"51","WFC",3
"52","WAL",3
"53","WBK",3
"54","WF",3
"55","GS",3
"56","JFBC",3
"57","MS",3
"58","AIG",3
"59","LFC",3
"60","ALL",3
"61","AFL",3
"62","CUBI",3
"63","PORTFO",3
"64","BANC",4
"65","BLX",4
"66","CIB",4
"67","BMO",4
"68","BNS",4
"69","CM",4
"70","BAP",4
"71","FBP",4
"72","MFCB",4
"73","OFG",4
"74","RY",4
"75","TD",4
"76","ZBK",4
"77","QNBK.QA",4
"78","NTB",4
"79","DHY",4
"80","BCH",5
"81","BSAC",5
"82","1398.HK",6
"83","0939.HK",6
"84","3988.HK",6
"85","3328.HK",6
"86","BBD",7
"87","BSBR",7
"88","ITUB",7
"89","ASB",8
"90","BXS",8
"91","BOH",8
"92","BKU",8
"93","CBU",8
"94","FNB",8
"95","FCF",8
"96","FHN",8
"97","NBHC",8
"98","PFS",8
"99","STL",8
"100","VLY",8
"101","TCF",8
"102","^BANK",8
"103","MTU",9
"104","MFG",9
"105","SMFG",9
"106","DSEEY",9
"107","NMR",9
