"Item","IteminPlot","StationaryDistributionValue","MemberShip"
"Euro (EUR)","DEXUSEU",0.10702888208175,3
"Denish Krone (DKK)","DEXDNUS",0.105758516142526,3
"Singapore Dollar (SGD)","DEXSIUS",0.0960462490680184,1
"Norwegian Krone(NOK)","DEXNOUS",0.069307812462773,1
"Australian Dollar (AUD)","DEXUSAL",0.0684331362615148,1
"Swedish Krona (SEK)","DEXSDUS",0.0666165392774652,1
"Swiss Franc (CHF)","DEXSZUS",0.0570317918899082,3
"Thai Baht (THB)","DEXTHUS",0.049603108516602,2
"New Taiwan Dollar (TWD)","DEXTAUS",0.0402711797258596,2
"South Korean Won (KRW)","DEXKOUS",0.0376294585942441,2
"Canadaian Dollar (CAD)","DEXCAUS",0.0368647679460765,1
"New Zealand Dollar (NZD)","DEXUSNZ",0.0350265321149735,1
"British Pound (GBP)","DEXUSUK",0.0310563462992821,3
"Chinese Yuan (CNY))","DEXCHUS",0.0283886510795612,1
"Mexican Peso (MXN)","DEXMXUS",0.0265478554029462,2
"Brazilian Real (BRL)","DEXBZUS",0.0254244479373792,2
"Indian Rupee (INR)","DEXINUS",0.0243633931057723,2
"Japanese Yen (JPY)","DEXJPUS",0.0238888826606905,1
"Malaysian Ringgit (MYR)","DEXMAUS",0.0207336263711472,2
"South African Rand(ZAR)","DEXSFUS",0.0174547802637794,2
"Hong Kong Dollar (HKD)","DEXHKUS",0.0162405068690408,1
"Sri Lankan Rupee(LKR)","DEXSLUS",0.0140553734547932,2
"Venezuelan Bolivar (VEF)","DEXVZUS",0.0022281624738955,1
