"","DAAA","DBAA","DFF","DGS1","DGS10","DGS1MO","DGS2","DGS20","DGS3","DGS30","DGS3MO","DGS5","DGS6MO","DGS7"
"2018-11-19",0.0328669063670588,0.0517289270739513,0.0377205544133358,0.125246550598346,0.0583556959041478,0.115361065539663,0.0839498991273393,0.0705625247587811,0.0527842954283429,0.061514198854488,0.112795270446119,0.0388470101522262,0.110251286085339,0.0480158152508628
"2018-11-20",0.0273987662004579,0.0445856526537695,0.0236528912084908,0.120321325153034,0.0495418556622058,0.116370353879282,0.0832483407295438,0.0780485373361147,0.0611615392852902,0.0606788803683714,0.114732202717902,0.0555944584980415,0.110148031931636,0.0545171643758597
"2018-11-21",0.0332751032081932,0.0498651313726128,0.0219708521342649,0.126845181568076,0.0568968853441209,0.110156432970706,0.0802754340316801,0.0737176217576918,0.0478311769367685,0.0686607448688351,0.111486984553361,0.0431494893572337,0.119147652638311,0.0567213092581459
"2018-11-22",0.0357030068624552,0.0553001275096016,0.0340388983996863,0.124132610424709,0.0562363938824715,0.110560715750251,0.0635669844651023,0.0849195709742456,0.0464413342477585,0.0749535801362765,0.102525794365825,0.0378634662134387,0.119482570837549,0.0542749459306297
"2018-11-23",0.0375870390201111,0.0592645243321662,0.0238255382084742,0.116689827882138,0.0522791854966323,0.10428613700082,0.0754421431279933,0.0842913123004058,0.0549507822680772,0.0765900608397028,0.101579107497099,0.0432055948791278,0.105393431396999,0.0646153157502531
"2018-11-26",0.0394900725376224,0.0574026453720219,0.0380057557458173,0.126499392321514,0.044525824318322,0.116780116259804,0.0619104757176371,0.0743198022263775,0.0452136625130169,0.0639555300306627,0.114107812242037,0.0472843273743862,0.122505746447062,0.0479988368937187
"2018-11-27",0.0410904168676647,0.058427296274195,0.0280633871144331,0.126182698233816,0.0516337723666804,0.104515744974641,0.0706541199725752,0.0817912281060987,0.0531549859758919,0.069731012488027,0.0996241535542603,0.0483890599476728,0.107568594154194,0.0591735299698498
"2018-11-28",0.0437453934116058,0.064115430174332,0.0349009395804813,0.121868629544757,0.0422629672709168,0.113701847169303,0.0532650243195321,0.0874508964485395,0.0433978934288853,0.071502903721784,0.110432378219443,0.0388492614481154,0.128890953262955,0.0456154819993488
"2018-11-29",0.0464693693696967,0.0718996013307745,0.0293286636577469,0.12813366965088,0.0467817432760296,0.11273590184122,0.0589404429351864,0.0871522412828866,0.0370298085597755,0.0777755187536127,0.11298177788324,0.0252324294521746,0.132511631753435,0.0330272002533405
"2018-11-30",0.0501341807334337,0.0734674774784873,0.0304576278175974,0.124366655765438,0.0497713655229013,0.112334278553763,0.0591715896184911,0.0898197068371203,0.0426644775123206,0.0893556747245451,0.103518990931969,0.0236422283735808,0.120459168724163,0.0308365774061905
"2018-12-03",0.0527469768526025,0.0781357538281115,0.0317301342896142,0.130132720109871,0.0366558834467941,0.114671958643106,0.0597391937022717,0.0818163437907519,0.0397285253072813,0.0957354525315758,0.106998394087281,0.0222827666819808,0.121806922940823,0.0278189737879355
